Composition,eta,a0,C11,C12,C44,Ac,Ecoh_(eV),gamma_110_usf,gamma_112_usf,gamma_123_usf,tao_110_iss,tao_112_iss,tao_123_iss
NbTaTi,0.0126,3.295,196.24,124.39,66.37,1.85,-6.76,559.34,645.25,635.36,6.99,8.13,7.99
MoNbTi,0.0282,3.233,241.38,133,76.32,1.41,-6.43,742.35,857.21,845.89,7.44,8.38,8.32
HfNbTa,0.0371,3.383,201.27,132.08,68.54,1.98,-7.39,647.42,758.9,745.44,7.51,8.86,8.55
NbTiZr,0.0429,3.391,143.32,110.55,56.85,3.47,-6.31,459.61,537.78,529.89,5.17,6.03,5.82
HfNbTi,0.04,3.386,146.02,115.97,65.41,4.35,-6.29,474.26,566.09,556.67,5.35,6.35,6.15
HfTaTi,0.0356,3.381,154.69,119.64,82.03,4.68,-6.45,511.04,610.78,599.62,5.81,7.03,7.45
TaTiZr,0.0387,3.385,153.52,116.17,71.84,3.85,-6.46,494.45,579.18,569.42,5.57,6.6,6.9
MoTaTi,0.0254,3.24,234.35,140.46,92.7,1.97,-6.59,786.3,910.26,897.48,8.45,9.87,10.12
MoNbTa,0.026,3.243,308.55,158.28,76.84,1.02,-7.57,877.23,1016.4,1000.05,9.31,10.63,11.05
HfNbTiZr,0.0354,3.361,175.31,123.25,70.57,2.71,-6.73,553.96,653.34,641.87,6.46,7.62,7.95
HfMoNbTaTi,0.0374,3.31,205.97,141.21,82.2,2.54,-6.82,666.67,782.6,769.12,7.38,8.67,9.12
HfNbTaTiZr,0.042,3.405,157.62,118.17,67.61,3.43,-6.69,522.79,615.94,605.31,5.82,6.88,6.78
