Composition,sigma_110_e,sigma_110_s,sigma_112_e,sigma_112_s,sigma_123_e,sigma_123_s,sigma_110_s/sigma_110_e,sigma_112_s/sigma_112_e,sigma_123_s/sigma_123_e,sigma_110_e/sigma_112_e,sigma_110_e/sigma_123_e,sigma_110_s/sigma_112_s,sigma_110_s/sigma_123_s
NbTaTi,443.03,1731.11,514.18,1616.89,340.94,1737.92,3.91,3.14,5.1,0.86,1.07,1.3,1
MoNbTi,797.49,2016.97,1085.82,1634.26,795.84,1776.54,2.53,1.51,2.23,0.73,1.23,1,1.14
HfNbTa,777.59,1394.83,708.49,1104.07,592.07,1032.13,1.79,1.56,1.74,1.1,1.26,1.31,1.35
NbTiZr,956.74,1226.94,556.23,877.68,344.02,811.2,1.28,1.58,2.36,1.72,1.4,2.78,1.51
HfNbTi,617.74,1021.31,590.82,994.67,413.33,674.14,1.65,1.68,1.63,1.05,1.03,1.49,1.51
HfTaTi,857.43,1013.25,758.3,1012.44,549.66,740.18,1.18,1.34,1.35,1.13,1,1.56,1.37
TaTiZr,1138.82,1414.79,732.28,1098.29,474.18,842.95,1.24,1.5,1.78,1.56,1.29,2.4,1.68
MoTaTi,922.53,1975.66,1185.92,1686.38,736.58,1742.48,2.14,1.42,2.37,0.78,1.17,1.25,1.13
MoNbTa,949.41,2320.54,1303.57,1645.52,798.93,1977.64,2.44,1.26,2.48,0.73,1.41,1.19,1.17
HfNbTiZr,884.9,1155.84,637.74,1062.53,624.89,1220.25,1.31,1.67,1.95,1.39,1.09,1.42,0.95
HfMoNbTaTi,1543.22,2017.6,878.73,1772.92,772.36,1395.88,1.31,2.02,1.81,1.76,1.14,2,1.45
HfNbTaTiZr,923.91,1084.82,659.58,1021.67,458.9,782.21,1.17,1.55,1.7,1.4,1.06,2.01,1.39
