target,feature_1,feature_2,feature_3,avg_R2,avg_MSE
sigma_110_e,Nb,Ti,C44,0.00583561333300527,152370.91017952477
sigma_110_e,Nb,eta,C44,0.017912296697323842,150519.97359313152
sigma_110_e,Ta,Ti,C44,0.052944394929627527,145150.7682939453
sigma_110_e,Ta,Mo,C44,0.024477071478903045,149513.82136920572
sigma_110_e,Ta,Zr,C44,0.027354377158038363,149072.83023024086
sigma_110_e,Ta,eta,C44,0.16376913312526842,128165.18074348959
sigma_110_e,Ta,a0,C44,0.10792643649543059,136723.92880013026
sigma_110_e,Ta,C11,C44,0.01771730183028002,150549.85954134117
sigma_110_e,Ta,C12,C44,0.009314895266103537,151837.6569650391
sigma_110_e,Ta,C44,tao_110_iss,0.012646531762143884,151327.03267382816
sigma_110_e,Ta,C44,tao_112_iss,0.006415193385432311,152282.08066471355
sigma_110_e,Ta,C44,tao_123_iss,0.017365580162624933,150603.7662708008
sigma_110_e,Ti,Mo,C44,0.03161253136612854,148420.20291722007
sigma_110_e,Ti,Zr,C12,0.009717282399478555,151775.98497740892
sigma_110_e,Ti,Zr,C44,0.01055700591185226,151647.28449527992
sigma_110_e,Ti,eta,C44,0.2002431022400749,122574.98666048178
sigma_110_e,Ti,a0,C44,0.15909101722588193,128882.17361416016
sigma_110_e,Ti,C11,C44,0.001039460097330025,153105.99407880858
sigma_110_e,Ti,C12,C44,0.025019573076183865,149430.6746952149
sigma_110_e,Ti,C44,gamma_123_usf,0.02217702840826108,149866.3381771159
sigma_110_e,Ti,C44,tao_110_iss,0.014425621832104496,151054.3598876302
sigma_110_e,Ti,C44,tao_112_iss,0.052772016878511414,145177.1878689128
sigma_110_e,Ti,C44,tao_123_iss,0.012977532534179761,151276.30173880208
sigma_110_e,Mo,Zr,C12,0.04052187896052204,147054.70902076832
sigma_110_e,Mo,Zr,C44,0.05645907621122851,144612.08958743492
sigma_110_e,Mo,eta,C44,0.16928495492231732,127319.79662102864
sigma_110_e,Mo,a0,C44,0.14551495413187962,130962.91309550783
sigma_110_e,Mo,C11,C44,0.013132287889722547,151252.58311168625
sigma_110_e,Mo,C12,C44,0.01356329192410242,151186.52514593102
sigma_110_e,Mo,C44,tao_112_iss,0.03909112640759981,147273.99375039063
sigma_110_e,Mo,C44,tao_123_iss,0.01117970694010815,151551.8460308594
sigma_110_e,Zr,a0,C44,0.02920589455642661,148789.0568472982
sigma_110_e,Zr,C11,C44,0.016009384234946255,150811.62405634767
sigma_110_e,Zr,C44,Ac,0.022259647770681363,149853.67549514977
sigma_110_e,Zr,C44,Ecoh_(eV),0.026269198193410614,149239.15051767576
sigma_110_e,Zr,C44,gamma_110_usf,0.014506870718138748,151041.90725214843
sigma_110_e,Zr,C44,tao_112_iss,0.005860978097633242,152367.02264108072
sigma_110_e,eta,a0,C44,0.12789786168226458,133663.0021826497
sigma_110_e,eta,C11,C44,0.012981760584582178,151275.6537253581
sigma_110_e,eta,C12,C44,0.07379415041381306,141955.22411357422
sigma_110_e,eta,C44,Ecoh_(eV),0.011192694131457062,151549.855544987
sigma_110_e,eta,C44,gamma_110_usf,0.05833809204694058,144324.10164804687
sigma_110_e,eta,C44,gamma_123_usf,0.049658960540918694,145654.3114049805
sigma_110_e,eta,C44,tao_110_iss,0.04248692131688916,146753.53620026042
sigma_110_e,eta,C44,tao_112_iss,0.04356047232833945,146588.99807464195
sigma_110_e,eta,C44,tao_123_iss,0.11498333231524238,135642.35149407556
sigma_110_e,a0,C12,C44,0.04635495749029788,146160.7004476888
sigma_110_e,a0,C44,Ecoh_(eV),0.010831035894708482,151605.28520576173
sigma_110_e,a0,C44,gamma_110_usf,0.0670628250567108,142986.90276263023
sigma_110_e,a0,C44,gamma_112_usf,0.01866545370848206,150404.54075240885
sigma_110_e,a0,C44,gamma_123_usf,0.07013785455220484,142515.60742220053
sigma_110_e,a0,C44,tao_110_iss,0.059168945569469535,144196.76062763672
sigma_110_e,a0,C44,tao_112_iss,0.04294566358523783,146683.2269255534
sigma_110_e,a0,C44,tao_123_iss,0.0661032865700907,143133.9667236003
sigma_110_e,C11,C12,C44,0.041390579502675114,146921.56736526694
sigma_110_e,C11,C44,gamma_110_usf,0.006003963986384466,152345.10786490884
sigma_110_e,C11,C44,tao_110_iss,0.008850787201382188,151908.7886301758
sigma_110_e,C11,C44,tao_112_iss,0.07375751639157264,141960.83883824872
sigma_110_e,C12,C44,gamma_110_usf,0.03667782850773809,147643.86859449875
sigma_110_e,C12,C44,gamma_123_usf,0.021666219197937226,149944.62750768234
sigma_110_e,C12,C44,tao_110_iss,0.045440570127800874,146300.84430774744
sigma_110_e,C12,C44,tao_112_iss,0.014967359442558217,150971.33030631515
sigma_110_e,C12,C44,tao_123_iss,0.025911571840934233,149293.96223046878
sigma_110_e,C44,Ac,tao_123_iss,0.013377014721553837,151215.0749786133
sigma_110_e,C44,Ecoh_(eV),gamma_112_usf,0.0242333838649125,149551.170226237
sigma_110_e,C44,Ecoh_(eV),tao_110_iss,0.012692863689085723,151319.9315968099
sigma_110_e,C44,gamma_123_usf,tao_112_iss,0.023282720868411155,149696.87388248704
sigma_110_e,C44,tao_110_iss,tao_123_iss,0.03087842554434651,148532.7158715495
sigma_110_s,Nb,Ta,eta,0.04396350211165717,176351.0211543946
sigma_110_s,Nb,Ta,a0,0.5266800474417122,87308.8602273763
sigma_110_s,Nb,Ta,C11,0.46502148678128,98682.43242822269
sigma_110_s,Nb,Ta,C12,0.11638681696060649,162991.77644228516
sigma_110_s,Nb,Ta,Ac,0.39815312875075043,111017.00673333336
sigma_110_s,Nb,Ta,tao_110_iss,0.1994405863750085,147671.63220166016
sigma_110_s,Nb,Ta,tao_112_iss,0.10078665334712668,165869.39125039065
sigma_110_s,Nb,Ti,a0,0.5864027738942756,76292.37307516277
sigma_110_s,Nb,Ti,C11,0.29864252220927306,129372.78825218104
sigma_110_s,Nb,Ti,C12,0.24478957065867002,139306.53347958988
sigma_110_s,Nb,Ti,Ac,0.26882687058278276,134872.5998413086
sigma_110_s,Nb,Ti,tao_110_iss,0.3555243858145732,118880.32823196617
sigma_110_s,Nb,Ti,tao_112_iss,0.2374308241494875,140663.9319305664
sigma_110_s,Nb,Mo,eta,0.4489208941354406,101652.35665240888
sigma_110_s,Nb,Mo,a0,0.5513056127811775,82766.41482522788
sigma_110_s,Nb,Mo,C11,0.5364704166286723,85502.92331240237
sigma_110_s,Nb,Mo,C12,0.20351939507268832,146919.2528934245
sigma_110_s,Nb,Mo,C44,0.044514345199678645,176249.41233372406
sigma_110_s,Nb,Mo,Ac,0.5631311415458912,80585.07124895837
sigma_110_s,Nb,Mo,Ecoh_(eV),0.2776713029542306,133241.15095449222
sigma_110_s,Nb,Mo,gamma_110_usf,0.186032720874598,150144.85448733726
sigma_110_s,Nb,Mo,gamma_112_usf,0.07875770159301336,169932.8638744792
sigma_110_s,Nb,Mo,gamma_123_usf,0.17024151133192564,153057.70973320314
sigma_110_s,Nb,Mo,tao_110_iss,0.5268071942515621,87285.40665651047
sigma_110_s,Nb,Mo,tao_112_iss,0.5982140934500391,74113.65053743492
sigma_110_s,Nb,Mo,tao_123_iss,0.4103050968912075,108775.44796927083
sigma_110_s,Nb,Hf,a0,0.4581380540948085,99952.15422858072
sigma_110_s,Nb,Hf,C11,0.3898907191839156,112541.09537171223
sigma_110_s,Nb,Hf,C12,0.44873160426993614,101687.27316569012
sigma_110_s,Nb,Hf,Ac,0.3831941379792152,113776.35044440105
sigma_110_s,Nb,Hf,gamma_110_usf,0.21218435225980237,145320.91009837238
sigma_110_s,Nb,Hf,gamma_112_usf,0.2794974105968257,132904.30612877605
sigma_110_s,Nb,Hf,gamma_123_usf,0.1783921714622814,151554.2344576823
sigma_110_s,Nb,Hf,tao_110_iss,0.48466861386862403,95058.31249947916
sigma_110_s,Nb,Hf,tao_112_iss,0.35782734675374406,118455.522783431
sigma_110_s,Nb,Hf,tao_123_iss,0.2750236373228846,133729.5408211914
sigma_110_s,Nb,Zr,eta,0.016386948096120447,181437.80755983075
sigma_110_s,Nb,Zr,a0,0.5624428587117192,80712.03228121747
sigma_110_s,Nb,Zr,C11,0.35519200015369057,118941.64027480473
sigma_110_s,Nb,Zr,C12,0.2899067097195846,130984.2010555339
sigma_110_s,Nb,Zr,Ac,0.37547265240758115,115200.65994345707
sigma_110_s,Nb,Zr,tao_110_iss,0.29339924443802184,130339.96616975912
sigma_110_s,Nb,Zr,tao_112_iss,0.1796362698564732,151324.74737981774
sigma_110_s,Nb,eta,a0,0.19580000658641103,148343.17556295576
sigma_110_s,Nb,eta,C11,0.1662241731642159,153798.75015348307
sigma_110_s,Nb,eta,C12,0.4722040171953758,97357.53889560547
sigma_110_s,Nb,eta,C44,0.17271136546088128,152602.11907457683
sigma_110_s,Nb,eta,Ac,0.17910573803789354,151422.6095724935
